time,mat0_x1,mat0_x2,mat0_y1,mat0_y2,mat1_x1,mat1_x2,mat1_y1,mat1_y2,mat2_x1,mat2_x2,mat2_y1,mat2_y2,mat3_x1,mat3_x2,mat3_y1,mat3_y2,hopf0_x,hopf0_y,hopf1_x,hopf1_y
1.28,0.2033916876294521,0.2033916876294521,0.2033916876294521,0.2033916876294521,0.2033916876294521,0.2033916876294521,0.2033916876294521,0.2033916876294521,0.2033916876294521,0.2033916876294521,0.2033916876294521,0.2033916876294521,0.2033916876294521,0.2033916876294521,0.2033916876294521,0.2033916876294521,0.31718072323893715,0.4195182054765128,0.31718072323893715,0.4195182054765128
1.29,0.20291298583172943,0.20291298583172943,0.20291298583172943,0.20291298583172943,0.20291298583172943,0.20291298583172943,0.20291298583172943,0.20291298583172943,0.20291298583172943,0.20291298583172943,0.20291298583172943,0.20291298583172943,0.20291298583172943,0.20291298583172943,0.20291298583172943,0.20291298583172943,0.2983879263335859,0.43849624587970415,0.2983879263335859,0.43849624587970415
1.3,0.20244406230345496,0.20244406230345496,0.20244406230345496,0.20244406230345496,0.20244406230345496,0.20244406230345496,0.20244406230345496,0.20244406230345496,0.20244406230345496,0.20244406230345496,0.20244406230345496,0.20244406230345496,0.20244406230345496,0.20244406230345496,0.20244406230345496,0.20244406230345496,0.27849117229925424,0.45664626871687225,0.27849117229925424,0.45664626871687225
1.31,0.2019847591377448,0.2019847591377448,0.2019847591377448,0.2019847591377448,0.2019847591377448,0.2019847591377448,0.2019847591377448,0.2019847591377448,0.2019847591377448,0.2019847591377448,0.2019847591377448,0.2019847591377448,0.2019847591377448,0.2019847591377448,0.2019847591377448,0.2019847591377448,0.25752582270079716,0.4739048365200274,0.25752582270079716,0.4739048365200274
1.32,0.20153491872510057,0.20153491872510057,0.20153491872510057,0.20153491872510057,0.20153491872510057,0.20153491872510057,0.20153491872510057,0.20153491872510057,0.20153491872510057,0.20153491872510057,0.20153491872510057,0.20153491872510057,0.20153491872510057,0.20153491872510057,0.20153491872510057,0.20153491872510057,0.23553086930225225,0.4902099301162989,0.23553086930225225,0.4902099301162989
1.33,0.2010943839062899,0.2010943839062899,0.2010943839062899,0.2010943839062899,0.2010943839062899,0.2010943839062899,0.2010943839062899,0.2010943839062899,0.2010943839062899,0.2010943839062899,0.2010943839062899,0.2010943839062899,0.2010943839062899,0.2010943839062899,0.2010943839062899,0.2010943839062899,0.21254888481427547,0.5055011564907763,0.21254888481427547,0.5055011564907763
1.34,0.20066299811419835,0.20066299811419835,0.20066299811419835,0.20066299811419835,0.20066299811419835,0.20066299811419835,0.20066299811419835,0.20066299811419835,0.20066299811419835,0.20066299811419835,0.20066299811419835,0.20066299811419835,0.20066299811419835,0.20066299811419835,0.20066299811419835,0.20066299811419835,0.18862596169659623,0.519719955616131,0.18862596169659623,0.519719955616131
1.35,0.20024060550525632,0.20024060550525632,0.20024060550525632,0.20024060550525632,0.20024060550525632,0.20024060550525632,0.20024060550525632,0.20024060550525632,0.20024060550525632,0.20024060550525632,0.20024060550525632,0.20024060550525632,0.20024060550525632,0.20024060550525632,0.20024060550525632,0.20024060550525632,0.16381163896720227,0.5328098055590897,0.16381163896720227,0.5328098055590897
1.36,0.19982705108101462,0.19982705108101462,0.19982705108101462,0.19982705108101462,0.19982705108101462,0.19982705108101462,0.19982705108101462,0.19982705108101462,0.19982705108101462,0.19982705108101462,0.19982705108101462,0.19982705108101462,0.19982705108101462,0.19982705108101462,0.19982705108101462,0.19982705108101462,0.13815881700999946,0.5447164251640557,0.13815881700999946,0.5447164251640557
1.37,0.19942218080041405,0.19942218080041405,0.19942218080041405,0.19942218080041405,0.19942218080041405,0.19942218080041405,0.19942218080041405,0.19942218080041405,0.19942218080041405,0.19942218080041405,0.19942218080041405,0.19942218080041405,0.19942218080041405,0.19942218080041405,0.19942218080041405,0.19942218080041405,0.11172366041378344,0.555387973606723,0.11172366041378344,0.555387973606723
1.3800000000000001,0.1990258416832664,0.1990258416832664,0.1990258416832664,0.1990258416832664,0.1990258416832664,0.1990258416832664,0.1990258416832664,0.1990258416832664,0.1990258416832664,0.1990258416832664,0.1990258416832664,0.1990258416832664,0.1990258416832664,0.1990258416832664,0.1990258416832664,0.1990258416832664,0.08456548891737431,0.5647752461054991,0.08456548891737431,0.5647752461054991
1.3900000000000001,0.19863788190543863,0.19863788190543863,0.19863788190543863,0.19863788190543863,0.19863788190543863,0.19863788190543863,0.19863788190543863,0.19863788190543863,0.19863788190543863,0.19863788190543863,0.19863788190543863,0.19863788190543863,0.19863788190543863,0.19863788190543863,0.19863788190543863,0.19863788190543863,0.05674665657856086,0.5728318650760401,0.05674665657856086,0.5728318650760401
1.4000000000000001,0.1982581508862072,0.1982581508862072,0.1982581508862072,0.1982581508862072,0.1982581508862072,0.1982581508862072,0.1982581508862072,0.1982581508862072,0.1982581508862072,0.1982581508862072,0.1982581508862072,0.1982581508862072,0.1982581508862072,0.1982581508862072,0.1982581508862072,0.1982581508862072,0.028332419327925726,0.5795144660142832,0.028332419327925726,0.5795144660142832
1.41,0.197886499368226,0.197886499368226,0.197886499368226,0.197886499368226,0.197886499368226,0.197886499368226,0.197886499368226,0.197886499368226,0.197886499368226,0.197886499368226,0.197886499368226,0.197886499368226,0.197886499368226,0.197886499368226,0.197886499368226,0.197886499368226,-0.0006092088874810053,0.5847828773961212,-0.0006092088874810053,0.5847828773961212
1.42,0.19752277949052865,0.19752277949052865,0.19752277949052865,0.19752277949052865,0.19752277949052865,0.19752277949052865,0.19752277949052865,0.19752277949052865,0.19752277949052865,0.19752277949052865,0.19752277949052865,0.19752277949052865,0.19752277949052865,0.19752277949052865,0.19752277949052865,0.19752277949052865,-0.030007611121450867,0.5886002938873488,-0.030007611121450867,0.5886002938873488
1.43,0.19716684485496508,0.19716684485496508,0.19716684485496508,0.19716684485496508,0.19716684485496508,0.19716684485496508,0.19716684485496508,0.19716684485496508,0.19716684485496508,0.19716684485496508,0.19716684485496508,0.19716684485496508,0.19716684485496508,0.19716684485496508,0.19716684485496508,0.19716684485496508,-0.05978973331340673,0.5909334421657971,-0.05978973331340673,0.5909334421657971
1.44,0.19681855058645137,0.19681855058645137,0.19681855058645137,0.19681855058645137,0.19681855058645137,0.19681855058645137,0.19681855058645137,0.19681855058645137,0.19681855058645137,0.19681855058645137,0.19681855058645137,0.19681855058645137,0.19681855058645137,0.19681855058645137,0.19681855058645137,0.19681855058645137,-0.08988026070288502,0.5917527386686803,-0.08988026070288502,0.5917527386686803
1.45,0.19647775338739315,0.19647775338739315,0.19647775338739315,0.19647775338739315,0.19647775338739315,0.19647775338739315,0.19647775338739315,0.19647775338739315,0.19647775338739315,0.19647775338739315,0.19647775338739315,0.19647775338739315,0.19647775338739315,0.19647775338739315,0.19647775338739315,0.19647775338739315,-0.12020180439186773,0.5910324385921581,-0.12020180439186773,0.5910324385921581
1.46,0.1961443115866239,0.1961443115866239,0.1961443115866239,0.1961443115866239,0.1961443115866239,0.1961443115866239,0.1961443115866239,0.1961443115866239,0.1961443115866239,0.1961443115866239,0.1961443115866239,0.1961443115866239,0.1961443115866239,0.1961443115866239,0.1961443115866239,0.1961443115866239,-0.15067509762948844,0.5887507754869782,-0.15067509762948844,0.5887507754869782
1.47,0.1958180851831824,0.1958180851831824,0.1958180851831824,0.1958180851831824,0.1958180851831824,0.1958180851831824,0.1958180851831824,0.1958180851831824,0.1958180851831824,0.1958180851831824,0.1958180851831824,0.1958180851831824,0.1958180851831824,0.1958180851831824,0.1958180851831824,0.1958180851831824,-0.18121920135061798,0.5848900908138044,-0.18121920135061798,0.5848900908138044
1.48,0.19549893588523648,0.19549893588523648,0.19549893588523648,0.19549893588523648,0.19549893588523648,0.19549893588523648,0.19549893588523648,0.19549893588523648,0.19549893588523648,0.19549893588523648,0.19549893588523648,0.19549893588523648,0.19549893588523648,0.19549893588523648,0.19549893588523648,0.19549893588523648,-0.21175171845762727,0.5794369528444754,-0.21175171845762727,0.5794369528444754
1.49,0.1951867271444453,0.1951867271444453,0.1951867271444453,0.1951867271444453,0.1951867271444453,0.1951867271444453,0.1951867271444453,0.1951867271444453,0.1951867271444453,0.1951867271444453,0.1951867271444453,0.1951867271444453,0.1951867271444453,0.1951867271444453,0.1951867271444453,0.1951867271444453,-0.24218901629342704,0.5723822643209188,-0.24218901629342704,0.5723822643209188
1.5,0.19488132418603574,0.19488132418603574,0.19488132418603574,0.19488132418603574,0.19488132418603574,0.19488132418603574,0.19488132418603574,0.19488132418603574,0.19488132418603574,0.19488132418603574,0.19488132418603574,0.19488132418603574,0.19488132418603574,0.19488132418603574,0.19488132418603574,0.19488132418603574,-0.2724464567138937,0.5637213583117675,-0.2724464567138937,0.5637213583117675
1.51,0.19458259403485595,0.19458259403485595,0.19458259403485595,0.19458259403485595,0.19458259403485595,0.19458259403485595,0.19458259403485595,0.19458259403485595,0.19458259403485595,0.19458259403485595,0.19458259403485595,0.19458259403485595,0.19458259403485595,0.19458259403485595,0.19458259403485595,0.19458259403485595,-0.3024386331292104,0.5534540817378129,-0.3024386331292104,0.5534540817378129
1.52,0.19429040553765412,0.19429040553765412,0.19429040553765412,0.19429040553765412,0.19429040553765412,0.19429040553765412,0.19429040553765412,0.19429040553765412,0.19429040553765412,0.19429040553765412,0.19429040553765412,0.19429040553765412,0.19429040553765412,0.19429040553765412,0.19429040553765412,0.19429040553765412,-0.33207961384667684,0.5415848660712319,-0.33207961384667684,0.5415848660712319
1.53,0.19400462938181806,0.19400462938181806,0.19400462938181806,0.19400462938181806,0.19400462938181806,0.19400462938181806,0.19400462938181806,0.19400462938181806,0.19400462938181806,0.19400462938181806,0.19400462938181806,0.19400462938181806,0.19400462938181806,0.19400462938181806,0.19400462938181806,0.19400462938181806,-0.3612831910123722,0.5281227847499627,-0.3612831910123722,0.5281227847499627
1.54,0.1937251381107991,0.1937251381107991,0.1937251381107991,0.1937251381107991,0.1937251381107991,0.1937251381107991,0.1937251381107991,0.1937251381107991,0.1937251381107991,0.1937251381107991,0.1937251381107991,0.1937251381107991,0.1937251381107991,0.1937251381107991,0.1937251381107991,0.1937251381107991,-0.38996313441587865,0.5130815968875736,-0.38996313441587865,0.5130815968875736
1.55,0.19345180613643148,0.19345180613643148,0.19345180613643148,0.19345180613643148,0.19345180613643148,0.19345180613643148,0.19345180613643148,0.19345180613643148,0.19345180613643148,0.19345180613643148,0.19345180613643148,0.19345180613643148,0.19345180613643148,0.19345180613643148,0.19345180613643148,0.19345180613643148,-0.41803344939128556,0.4964797769003814,-0.41803344939128556,0.4964797769003814
1.56,0.19318450974834772,0.19318450974834772,0.19318450974834772,0.19318450974834772,0.19318450974834772,0.19318450974834772,0.19318450974834772,0.19318450974834772,0.19318450974834772,0.19318450974834772,0.19318450974834772,0.19318450974834772,0.19318450974834772,0.19318450974834772,0.19318450974834772,0.19318450974834772,-0.4454086380190714,0.4783405297172803,-0.4454086380190714,0.4783405297172803
1.57,0.19292312712067974,0.19292312712067974,0.19292312712067974,0.19292312712067974,0.19292312712067974,0.19292312712067974,0.19292312712067974,0.19292312712067974,0.19292312712067974,0.19292312712067974,0.19292312712067974,0.19292312712067974,0.19292312712067974,0.19292312712067974,0.19292312712067974,0.19292312712067974,-0.4720039628073835,0.45869179128363313,-0.4720039628073835,0.45869179128363313
1.58,0.19266753831622532,0.19266753831622532,0.19266753831622532,0.19266753831622532,0.19266753831622532,0.19266753831622532,0.19266753831622532,0.19266753831622532,0.19266753831622532,0.19266753831622532,0.19266753831622532,0.19266753831622532,0.19266753831622532,0.19266753831622532,0.19266753831622532,0.19266753831622532,-0.497735712007871,0.4375662141184745,-0.497735712007871,0.4375662141184745
1.59,0.19241762528825,0.19241762528825,0.19241762528825,0.19241762528825,0.19241762528825,0.19241762528825,0.19241762528825,0.19241762528825,0.19241762528825,0.19241762528825,0.19241762528825,0.19241762528825,0.19241762528825,0.19241762528825,0.19241762528825,0.19241762528825,-0.5225214657007311,0.4150011377340349,-0.5225214657007311,0.4150011377340349
1.6,0.19217327188008507,0.19217327188008507,0.19217327188008507,0.19217327188008507,0.19217327188008507,0.19217327188008507,0.19217327188008507,0.19217327188008507,0.19217327188008507,0.19217327188008507,0.19217327188008507,0.19217327188008507,0.19217327188008507,0.19217327188008507,0.19217327188008507,0.19217327188008507,-0.5462803617661576,0.3910385437780275,-0.5462803617661576,0.3910385437780275
