time,matsuoka_y1,matsuoka_y2,hopf_x,hopf_y,joint_0,joint_1,hopf_radius
7.2,0.0,0.2273235318067029,0.047519262922510845,-1.0605398457567923,0.009503852584502169,0.015215562655344433,1.0616039020211538
7.21,0.0,0.24687557207421046,0.1008880019507579,-1.0567989501824264,0.02017760039015158,0.03551578203772515,1.0616036972638587
7.22,0.0,0.2665458786706427,0.15401082977096403,-1.0503731525625517,0.030802165954192808,0.05647124815813237,1.061604020014494
7.23,0.0,0.28631131227780493,0.20675273084137719,-1.0412771920084014,0.04135054616827544,0.07805587387612464,1.0616048616633535
7.24,0.0,0.3061473070596764,0.2589795099267767,-1.0295325955482222,0.051795901985355344,0.10024078795003197,1.0616062131780184
7.25,0.0,0.3260279506432396,0.3105581328101624,-1.0151676363911355,0.062111626562032486,0.12299442336501248,1.0616080650741588
7.26,0.0,0.3459260681129896,0.3613570652268097,-0.9982172751898715,0.07227141304536194,0.14628261307501528,1.0616104073890875
7.2700000000000005,0.0,0.3658133097790458,0.4112466091857789,-0.9787230843391536,0.08224932183715578,0.17006869291121507,1.061613229658121
7.28,0.0,0.38566024247029507,0.4600992358392422,-0.956733155385953,0.09201984716784845,0.19431361139310444,1.0616165208937816
7.29,0.0,0.40543644409593665,0.5077899140569596,-0.9323019896682649,0.10155798281139193,0.21897604616228367,1.061620269567881
7.3,0.0,0.42511060121118693,0.5541964338620261,-0.9054903723404242,0.11083928677240523,0.2440125267431021,1.0616244635965144
7.3100000000000005,0.0,0.44465060931575834,0.5991997238847654,-0.8763652299852159,0.11983994477695309,0.26937756331871515,1.0616290903279824
7.32,0.0,0.46402367560707464,0.6426841619944843,-0.844999472056051,0.12853683239889688,0.2950237811958644,1.0616341365336541
7.33,0.0,0.4831964239040416,0.6845378782738617,-0.8114718164361734,0.13690757565477235,0.32090206061680693,1.0616395884017809
7.34,0.0,0.5021350014515871,0.7246530495081471,-0.7758665994461297,0.14493060990162943,0.3469616815623611,1.0616454315342567
7.3500000000000005,0.0,0.5208051873111346,0.7629261843712069,-0.7382735706754152,0.1525852368742414,0.37315047317605154,1.061651650946315
7.36,0.0,0.5391725020377106,0.7992583985028852,-0.6987876730591893,0.15985167970057704,0.39941496742587274,1.0616582310691485
