time,x,y,radius,phase
5.83,-0.773741191153403,0.7736241231793032,1.0941525098689087,2.3562701465178373
5.84,-0.8208238450935089,0.723483177863454,1.0941570697690048,2.419143152539466
5.8500000000000005,-0.8646631358844435,0.6704827327193393,1.0941615207236601,2.482016164830703
5.86,-0.9050857840950927,0.614832224506939,1.0941658653344928,2.5448891832417804
5.87,-0.9419320125089793,0.5567515648684918,1.0941701061410563,2.607762207626506
5.88,-0.9750561776637633,0.4964702711974781,1.0941742456223167,2.6706352378421774
5.89,-1.0043273455282118,0.43422655954197387,1.0941782861980964,2.7335082737494987
5.9,-1.0296298090415803,0.37026640312773457,1.0941822302304818,2.7963813152125003
5.91,-1.0508635454701396,0.30484256022221895,1.0941860800251981,2.8592543620984587
5.92,-1.0679446117734561,0.23821357518190459,1.0941898378329524,2.9221274142778184
5.93,-1.0808054764180492,0.17064275663120354,1.0941935058507442,2.985000471624118
5.94,-1.0893952863272343,0.1023971368116385,1.0941970862231438,3.0478735340139154
5.95,-1.0936800679123284,0.033746416214328875,1.0942005810435425,3.1107466013267153
5.96,-1.0936428613909268,-0.03503810233303041,1.0942039923553715,-3.109565633734685
5.97,-1.0892837878616224,-0.10368458591186504,1.0942073221532924,-3.046692556925923
5.98,-1.080620048870311,-0.17192174585326195,1.0942105723843594,-2.9838194755386516
5.99,-1.0676858584700257,-0.23947990992727292,1.0942137449491534,-2.9209463896822623
6.0,-1.0505323080430433,-0.3060920881434292,1.0942168417028906,-2.8580732994635336
6.01,-1.029227164419737,-0.3714950279501924,1.0942198644565024,-2.7952002049866955
6.0200000000000005,-1.00385460209227,-0.43543025466298946,1.0942228149776927,-2.7323271063534866
6.03,-0.9745148705816812,-0.49764509300888404,1.0942256949919664,-2.6694540036632173
6.04,-0.9413238982731936,-0.5578936657505905,1.094228506183637,-2.606580897012826
6.05,-0.9044128342856543,-0.6159378654431452,1.0942312501968077,-2.5437077864969355
6.0600000000000005,-0.863927530185898,-0.6715482954827543,1.0942339286363307,-2.480834672207909
6.07,-0.8200279635965584,-0.7245051767287204,1.0942365430687429,-2.4179615542359034
6.08,-0.7728876059754823,-0.7745992161154271,1.0942390950231795,-2.3550884326689223
6.09,-0.7226927370655276,-0.8216324338215995,1.0942415859922656,-2.2922153075928673
6.1000000000000005,-0.669641708724275,-0.8654189457278585,1.0942440174329877,-2.2293421790915886
6.11,-0.6139441610432271,-0.9057856980703122,1.094246390767543,-2.166469047246933
6.12,-0.5558201938546057,-0.9425731513868592,1.0942487073841698,-2.103595912138792
6.13,-0.4954994969001545,-0.9756359110532982,1.0942509686379562,-2.04072277384515
6.140000000000001,-0.43322044209971144,-1.0048433019174254,1.0942531758516325,-1.9778496324421273
6.15,-0.3692291415070788,-1.0300798847602415,1.094255330316342,-1.9149764880040263
6.16,-0.3037784746763105,-1.0512459125432994,1.0942574332923949,-1.8521033406033747
6.17,-0.23712708928240978,-1.0682577246392044,1.0942594860100041,-1.7892301903109669
6.18,-0.16953837894611334,-1.0810480774873692,1.0942614896700025,-1.7263570371959072
6.19,-0.10127944230251158,-1.08956641036839,1.094263445444545,-1.6634838813256478
6.2,-0.03262002742736232,-1.0937790452468201,1.0942653544777918,-1.6006107227660304
6.21,0.03616853420719382,-1.0936693198926875,1.0942672178865775,-1.5377375615813236
6.22,0.10481440003444525,-1.0892376537557824,1.094269036761062,-1.4748643978342602
6.23,0.1730462907146628,-1.080501546332512,1.0942708121653677,-1.4119912315860745
6.24,0.24059456223064302,-1.0674955080318984,1.0942725451382007,-1.349118062896538
6.25,0.30719227152030204,-1.0502709238140637,1.094274236693458,-1.286244891823994
6.26,0.3725762314349362,-1.0288958501402266,1.0942758878208176,-1.2233717184253916
6.2700000000000005,0.4364880508539657,-1.0034547460367798,1.0942774994863196,-1.16049854275632
6.28,0.4986751558456516,-0.9740481393363964,1.094279072632928,-1.0976253648710397
6.29,0.5588917878381948,-0.9407922294152866,1.094280608181082,-1.0347521848225147
